,sentiment,partisan_lean,state,Age.Percent Under 5 Years,Age.Percent Under 18 Years,Age.Percent 65 and Older,Miscellaneous.Percent Female,Ethnicities.White Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Education.Bachelor's Degree or Higher,date,state percent vaccinated,state_rate_0,state_rate-7,state_rate+7,state_rate+14,US percent vaccinated,US_rate_0,US_rate-7,US_rate+7,US_rate+14,lottery
113,-0.1,0.5058920525934906,Pennsylvania,5.5,20.6,18.7,51.0,81.6,12.0,7.8,31.4,2021-05-13,53.64,7187.0,7963.0,6509.0,5555.0,48.56,5423.0,6525.0,5697.0,4178.0,0
114,0.0,0.5015683167912931,Arizona,5.9,22.5,18.0,50.3,82.6,5.2,31.7,29.5,2021-05-13,43.05,4659.0,4620.0,3728.0,3774.0,48.56,5423.0,6525.0,5697.0,4178.0,0
115,0.5,0.5015683167912931,Arizona,5.9,22.5,18.0,50.3,82.6,5.2,31.7,29.5,2021-05-13,43.05,4659.0,4620.0,3728.0,3774.0,48.56,5423.0,6525.0,5697.0,4178.0,0
116,0.0,0.5830715698544173,Oregon,5.4,20.5,18.2,50.4,86.7,2.2,13.4,33.7,2021-05-13,49.42,9706.0,7863.0,7087.0,7714.0,48.56,5423.0,6525.0,5697.0,4178.0,False
118,0.0,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-05-13,50.88,7016.0,8385.0,6521.0,6185.0,48.56,5423.0,6525.0,5697.0,4178.0,False
123,0.3,0.4053555954370895,Louisiana,6.5,23.4,15.9,51.2,62.8,32.8,5.3,24.1,2021-05-13,33.77,2699.0,3206.0,2215.0,2325.0,48.56,5423.0,6525.0,5697.0,4178.0,0
124,0.55,0.4830524533785844,Florida,5.3,19.7,20.9,51.1,77.3,16.9,26.4,29.9,2021-05-13,44.96,6950.0,5849.0,5365.0,4643.0,48.56,5423.0,6525.0,5697.0,4178.0,0
126,0.875,0.4592330235229728,Ohio,5.9,22.1,17.5,51.0,81.7,13.1,4.0,28.3,2021-05-13,42.41,5301.0,5305.0,4011.0,3901.0,48.56,5423.0,6525.0,5697.0,4178.0,True
127,0.0,0.5031906326653399,Wisconsin,5.7,21.8,17.5,50.2,87.0,6.7,7.1,30.1,2021-05-13,47.61,5424.0,6148.0,4445.0,4227.0,48.56,5423.0,6525.0,5697.0,4178.0,0
129,0.2,0.4180495199255704,Indiana,6.2,23.3,16.1,50.7,84.8,9.9,7.3,26.5,2021-05-13,38.6,5543.0,5756.0,4723.0,3914.0,48.56,5423.0,6525.0,5697.0,4178.0,0
132,0.0,0.551546869993999,Virginia,5.9,21.8,15.9,50.8,69.4,19.9,9.8,38.8,2021-05-13,50.52,6822.0,8419.0,6402.0,6016.0,48.56,5423.0,6525.0,5697.0,4178.0,0
138,0.1875,0.5865904373280693,Illinois,5.9,22.2,16.1,50.9,76.8,14.6,17.5,34.7,2021-05-13,49.75,6473.0,5911.0,5792.0,5711.0,48.56,5423.0,6525.0,5697.0,4178.0,0
